"name","en_name","price:","net_price","discount_percent","review_count","review_rate",subcategory_name
"산토리 가쿠빈 & 옐로우 로즈 프리미엄 아메리칸 위스키","Suntory Kakubin & Yellow Rose Premium American Whiskey","93000","null","0","1","5",""
"맥캘란 12년 셰리 오크 & 더 페이머스 그라우스 x3","Macallan 12yo Sherry Oak & The Famous Grouse x3","231000","null","0","0","0","싱글몰트"
"솔레라8 골드 오브 모리셔스 다크 럼","Solera 8 Gold of Mauritius Dark Rum","133000","null","0","145","4.8",""
"레미 마틴 XO","Remy martin XO","330000","null","0","4","5","꼬냑"
"글렌피딕 12년 트리플 오크","Glenfiddich 12yo Triple Oak","110000","null","0","110","4.9","싱글몰트"
"플라스크 데킬라 1965 맥가이버 나이프 패키지","Flask Tequila 1965 MacGyver Knife Package","29900","null","0","20","4","데킬라"
"돔 페리뇽 레이디 가가","Dom Perignon Lady Gaga","449000","null","0","0","0","화이트 와인"
"라벨 5 하이볼 전용잔 패키지","Label 5 Highball Glass Package","24500","null","0","1112","4.8","블렌디드"
"글렌피딕 몰트 마스터스 에디션 전용잔 패키지","Glenfiddich Malt Master's Edition Glass Package","139000","null","0","0","0","싱글몰트"
"글렌피딕 몰트 마스터스 에디션 전용잔 패키지","Glenfiddich Malt Master's Edition Glass Package","139000","null","0","0","0","싱글몰트"
"디카이퍼 피치트리","De Kuyper Peachtree","28000","null","0","89","4.8","과일"
"[하이볼글라스 증정] 에미넨테 리제르바","Eminente Reserva","77900","null","0","5","4.2",""
"[하이볼글라스 증정] 볼칸 데 미 띠에라 블랑코","Volcan De Mi Tierra Blanco","62900","null","0","0","0","데킬라"
"디카이퍼 트리플 섹","De Kuyper Triple Sec","22000","null","0","177","4.9","과일"
"디카이퍼 콰이페","De Kuyper KWAI FEH","40000","null","0","20","4.9","과일"
"디카이퍼 아마레또","De Kuyper Amaretto","22000","null","0","1","3",""
"디카이퍼 카페","De Kuyper Creme De Café","22000","null","0","2","4.5","커피"
"디카이퍼 블루큐라소","De Kuyper Blue Curaçao","22000","null","0","182","4.9","과일"
"디카이퍼 카시스","De Kuyper De Cassis","22000","null","0","88","4.9","과일"
"디카이퍼 체리","De Kuyper Cherry","22000","null","0","8","5","과일"
"발베니 더블우드 17년","Balvenie Double Wood 17yo","580000","null","0","17","4.9","싱글몰트"
"디카이퍼 망고","De Kuyper Mango","22000","null","0","5","4.6","과일"
"디카이퍼 멜론","De Kuyper Melon","22000","null","0","0","0",""
"디카이퍼 애플 퍼커","De Kuyper Apple Pucker","28000","null","0","0","0",""
"디카이퍼 바나나","De Kuyper Banana","22000","null","0","0","0","과일"
"디카이퍼 애프리콧 브랜디","De Kuyper Apricot Brandy","22000","null","0","1","5","과일"
"디카이퍼 크림 드 민트 그린","De Kuyper Creme De Menthe Green","22000","null","0","1","5","허브"
"디카이퍼 크림 드 카카오 화이트","De Kuyper Creme De Kakao White","22000","null","0","0","0","기타"
"디카이퍼 크림 드 카카오 브라운","De Kuyper Creme De Kakao Brown","22000","null","0","0","0","기타"
"디카이퍼 카카오 다크","De Kuyper Creme De Kakao dark","22000","null","0","0","0","기타"
"디카이퍼 민트 화이트","De Kuyper Menthe White","22000","null","0","0","0","기타"
"디카이퍼 크림 드 카페","De Kuyper Creme De Cafe","22000","null","0","0","0","커피"
"디카이퍼 트리플 섹","De Kuyper Triple Sec","22000","null","0","177","4.9","과일"
"디카이퍼 피치트리","De Kuyper Peachtree","28000","null","0","89","4.8","과일"
"디카이퍼 콰이페","De Kuyper KWAI FEH","40000","null","0","20","4.9","과일"
